질문ID,질문,사용자증상,연령대,의사진단,진단근거,해결책
89,'사소한 일에도 과도하게 긴장함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사소한 일에도 과도하게 긴장함,50대 이상,중등도 불안장애 증상일 수 있음,불안장애의 주요 진단 기준 중 하나입니다.,일정한 수면 습관을 유지하여 불면을 줄이세요.
90,'사소한 문제에도 지나치게 걱정함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사소한 문제에도 지나치게 걱정함,20대,경미한 불안장애로 의심됨,걱정과 두려움의 지속은 불안장애의 전형적인 증상입니다.,일정한 수면 습관을 유지하여 불면을 줄이세요.
91,'이유 없이 자주 불안함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이유 없이 자주 불안함,50대 이상,사회불안장애의 가능성이 있음,사회적 상황에 대한 불안은 사회불안장애의 특징입니다.,신뢰할 수 있는 사람과 감정을 나누고 상담을 고려해 보세요.
92,'사람들 앞에서 말할 때 극도로 불안함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사람들 앞에서 말할 때 극도로 불안함,30대,경미한 불안장애로 의심됨,사회적 상황에 대한 불안은 사회불안장애의 특징입니다.,신뢰할 수 있는 사람과 감정을 나누고 상담을 고려해 보세요.
93,'사소한 문제에도 지나치게 걱정함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사소한 문제에도 지나치게 걱정함,40대,사회불안장애의 가능성이 있음,불안장애의 주요 진단 기준 중 하나입니다.,신뢰할 수 있는 사람과 감정을 나누고 상담을 고려해 보세요.
94,'사소한 일에도 과도하게 긴장함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사소한 일에도 과도하게 긴장함,30대,사회불안장애의 가능성이 있음,불안장애의 주요 진단 기준 중 하나입니다.,가벼운 신체 활동으로 스트레스를 관리해 보세요.
95,'머리가 멍해지고 집중력이 떨어짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,머리가 멍해지고 집중력이 떨어짐,10대,불안장애 초기 증상 가능성 있음,긴장과 신체적 반응이 불안장애와 관련이 있습니다.,필요시 전문가 상담과 진단을 받는 것이 좋습니다.
96,'긴장감이 지속되어 근육이 경직됨'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,긴장감이 지속되어 근육이 경직됨,40대,사회불안장애의 가능성이 있음,긴장과 신체적 반응이 불안장애와 관련이 있습니다.,신뢰할 수 있는 사람과 감정을 나누고 상담을 고려해 보세요.
97,'이유 없이 자주 불안함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이유 없이 자주 불안함,10대,중등도 불안장애 증상일 수 있음,걱정과 두려움의 지속은 불안장애의 전형적인 증상입니다.,가벼운 신체 활동으로 스트레스를 관리해 보세요.
98,'사소한 일에도 과도하게 긴장함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사소한 일에도 과도하게 긴장함,40대,중등도 불안장애 증상일 수 있음,불안장애의 주요 진단 기준 중 하나입니다.,가벼운 신체 활동으로 스트레스를 관리해 보세요.
99,'긴장감이 지속되어 근육이 경직됨'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,긴장감이 지속되어 근육이 경직됨,20대,불안장애의 주요 증상에 해당됨,불안장애의 주요 진단 기준 중 하나입니다.,일정한 수면 습관을 유지하여 불면을 줄이세요.
100,'이유 없이 자주 불안함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이유 없이 자주 불안함,30대,불안장애의 주요 증상에 해당됨,불안장애의 주요 진단 기준 중 하나입니다.,호흡 연습과 명상으로 긴장을 완화해 보세요.
1,'체중이 급격히 감소하거나 증가함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,체중이 급격히 감소하거나 증가함,50대 이상,불안과 우울증 증상 동반 가능성 있음,우울증과 관련된 신체 증상이 나타나고 있습니다.,가까운 사람과 소통을 늘리거나 전문가 상담을 시도해 보세요.
2,'이유 없이 눈물이 나고 슬픔이 밀려옴'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이유 없이 눈물이 나고 슬픔이 밀려옴,30대,불안과 우울증 증상 동반 가능성 있음,일상에서 즐거움 감소는 우울증의 전형적인 증상입니다.,하루 일정을 계획적으로 관리하며 집중력을 높여 보세요.
3,'잠을 잘 못 자고 매일 피곤함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,잠을 잘 못 자고 매일 피곤함,30대,경미한 우울증으로 볼 수 있음,우울증 환자에게 자주 보이는 증상입니다.,규칙적인 수면 패턴을 유지하고 수면 환경을 개선하세요.
4,'일에 집중하기 어려움'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,일에 집중하기 어려움,10대,우울증의 초기 증상으로 의심됨,우울증의 주요 진단 기준에 해당됩니다.,하루 일정을 계획적으로 관리하며 집중력을 높여 보세요.
5,'이전에 즐겼던 것들에 흥미를 잃음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이전에 즐겼던 것들에 흥미를 잃음,30대,경미한 우울증으로 볼 수 있음,인지 기능 저하가 우울증과 연관됩니다.,식사 일정을 정해 규칙적으로 영양을 섭취해 보세요.
6,'예전보다 감정 기복이 심해짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,예전보다 감정 기복이 심해짐,10대,중등도 우울증 증상일 수 있음,인지 기능 저하가 우울증과 연관됩니다.,식사 일정을 정해 규칙적으로 영양을 섭취해 보세요.
7,'일에 집중하기 어려움'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,일에 집중하기 어려움,20대,중등도 우울증 증상일 수 있음,일상에서 즐거움 감소는 우울증의 전형적인 증상입니다.,가벼운 운동과 산책을 통해 활력을 되찾아 보세요.
8,'일에 집중하기 어려움'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,일에 집중하기 어려움,50대 이상,우울증의 초기 증상으로 의심됨,우울증의 주요 진단 기준에 해당됩니다.,하루 일정을 계획적으로 관리하며 집중력을 높여 보세요.
9,'체중이 급격히 감소하거나 증가함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,체중이 급격히 감소하거나 증가함,50대 이상,중등도 우울증 증상일 수 있음,우울증과 관련된 신체 증상이 나타나고 있습니다.,간단한 명상이나 스트레칭으로 마음을 안정시켜 보세요.
10,'과도한 피로와 기진맥진 상태'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,과도한 피로와 기진맥진 상태,20대,불안과 우울증 증상 동반 가능성 있음,우울증과 관련된 신체 증상이 나타나고 있습니다.,식사 일정을 정해 규칙적으로 영양을 섭취해 보세요.
11,'사람들과 어울리기 싫고 혼자 있는 시간이 많아짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사람들과 어울리기 싫고 혼자 있는 시간이 많아짐,40대,불안과 우울증 증상 동반 가능성 있음,우울증과 관련된 신체 증상이 나타나고 있습니다.,가벼운 운동과 산책을 통해 활력을 되찾아 보세요.
12,'이유 없이 눈물이 나고 슬픔이 밀려옴'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이유 없이 눈물이 나고 슬픔이 밀려옴,50대 이상,우울증 가능성이 높음,우울증 환자에게 자주 보이는 증상입니다.,규칙적인 수면 패턴을 유지하고 수면 환경을 개선하세요.
13,'이유 없이 눈물이 나고 슬픔이 밀려옴'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이유 없이 눈물이 나고 슬픔이 밀려옴,50대 이상,중등도 우울증 증상일 수 있음,우울증의 주요 진단 기준에 해당됩니다.,하루 일정을 계획적으로 관리하며 집중력을 높여 보세요.
14,'사람들과 어울리기 싫고 혼자 있는 시간이 많아짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사람들과 어울리기 싫고 혼자 있는 시간이 많아짐,20대,우울증 가능성이 높음,인지 기능 저하가 우울증과 연관됩니다.,가까운 사람과 소통을 늘리거나 전문가 상담을 시도해 보세요.
15,'예전보다 감정 기복이 심해짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,예전보다 감정 기복이 심해짐,10대,불안과 우울증 증상 동반 가능성 있음,우울증의 주요 진단 기준에 해당됩니다.,하루 일정을 계획적으로 관리하며 집중력을 높여 보세요.
16,'예전보다 감정 기복이 심해짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,예전보다 감정 기복이 심해짐,20대,우울증 가능성이 높음,우울증 환자에게 자주 보이는 증상입니다.,가까운 사람과 소통을 늘리거나 전문가 상담을 시도해 보세요.
17,'일에 집중하기 어려움'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,일에 집중하기 어려움,40대,우울증 가능성이 높음,우울증 환자에게 자주 보이는 증상입니다.,식사 일정을 정해 규칙적으로 영양을 섭취해 보세요.
18,'자주 무기력감과 무동기 상태를 느낌'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,자주 무기력감과 무동기 상태를 느낌,10대,우울증 가능성이 높음,우울증과 관련된 신체 증상이 나타나고 있습니다.,간단한 명상이나 스트레칭으로 마음을 안정시켜 보세요.
19,'식욕이 감소하여 먹는 것이 귀찮음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,식욕이 감소하여 먹는 것이 귀찮음,50대 이상,불안과 우울증 증상 동반 가능성 있음,일상에서 즐거움 감소는 우울증의 전형적인 증상입니다.,간단한 명상이나 스트레칭으로 마음을 안정시켜 보세요.
20,'과도한 피로와 기진맥진 상태'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,과도한 피로와 기진맥진 상태,20대,중등도 우울증 증상일 수 있음,우울증과 관련된 신체 증상이 나타나고 있습니다.,간단한 명상이나 스트레칭으로 마음을 안정시켜 보세요.
21,'체중이 급격히 감소하거나 증가함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,체중이 급격히 감소하거나 증가함,10대,경미한 우울증으로 볼 수 있음,우울증과 관련된 신체 증상이 나타나고 있습니다.,가벼운 운동과 산책을 통해 활력을 되찾아 보세요.
22,'이유 없이 눈물이 나고 슬픔이 밀려옴'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이유 없이 눈물이 나고 슬픔이 밀려옴,20대,경미한 우울증으로 볼 수 있음,인지 기능 저하가 우울증과 연관됩니다.,가까운 사람과 소통을 늘리거나 전문가 상담을 시도해 보세요.
23,'사람들과 어울리기 싫고 혼자 있는 시간이 많아짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사람들과 어울리기 싫고 혼자 있는 시간이 많아짐,40대,불안과 우울증 증상 동반 가능성 있음,우울증과 관련된 신체 증상이 나타나고 있습니다.,식사 일정을 정해 규칙적으로 영양을 섭취해 보세요.
24,'체중이 급격히 감소하거나 증가함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,체중이 급격히 감소하거나 증가함,50대 이상,우울증 가능성이 높음,일상에서 즐거움 감소는 우울증의 전형적인 증상입니다.,규칙적인 수면 패턴을 유지하고 수면 환경을 개선하세요.
25,'예전보다 감정 기복이 심해짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,예전보다 감정 기복이 심해짐,10대,우울증의 초기 증상으로 의심됨,우울증의 주요 진단 기준에 해당됩니다.,간단한 명상이나 스트레칭으로 마음을 안정시켜 보세요.
26,'사람들과 어울리기 싫고 혼자 있는 시간이 많아짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사람들과 어울리기 싫고 혼자 있는 시간이 많아짐,50대 이상,경미한 우울증으로 볼 수 있음,우울증과 관련된 신체 증상이 나타나고 있습니다.,식사 일정을 정해 규칙적으로 영양을 섭취해 보세요.
27,'자주 무기력감과 무동기 상태를 느낌'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,자주 무기력감과 무동기 상태를 느낌,50대 이상,우울증 가능성이 높음,우울증의 주요 진단 기준에 해당됩니다.,규칙적인 수면 패턴을 유지하고 수면 환경을 개선하세요.
28,'일에 집중하기 어려움'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,일에 집중하기 어려움,10대,우울증 가능성이 높음,인지 기능 저하가 우울증과 연관됩니다.,가까운 사람과 소통을 늘리거나 전문가 상담을 시도해 보세요.
29,'자주 무기력감과 무동기 상태를 느낌'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,자주 무기력감과 무동기 상태를 느낌,20대,우울증 가능성이 높음,우울증의 주요 진단 기준에 해당됩니다.,가까운 사람과 소통을 늘리거나 전문가 상담을 시도해 보세요.
30,'과도한 피로와 기진맥진 상태'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,과도한 피로와 기진맥진 상태,50대 이상,불안과 우울증 증상 동반 가능성 있음,우울증의 주요 진단 기준에 해당됩니다.,가벼운 운동과 산책을 통해 활력을 되찾아 보세요.
31,'잠을 잘 못 자고 매일 피곤함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,잠을 잘 못 자고 매일 피곤함,30대,경미한 우울증으로 볼 수 있음,우울증 환자에게 자주 보이는 증상입니다.,하루 일정을 계획적으로 관리하며 집중력을 높여 보세요.
32,'체중이 급격히 감소하거나 증가함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,체중이 급격히 감소하거나 증가함,50대 이상,우울증 가능성이 높음,일상에서 즐거움 감소는 우울증의 전형적인 증상입니다.,규칙적인 수면 패턴을 유지하고 수면 환경을 개선하세요.
33,'이유 없이 눈물이 나고 슬픔이 밀려옴'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이유 없이 눈물이 나고 슬픔이 밀려옴,50대 이상,불안과 우울증 증상 동반 가능성 있음,인지 기능 저하가 우울증과 연관됩니다.,규칙적인 수면 패턴을 유지하고 수면 환경을 개선하세요.
34,'이유 없이 눈물이 나고 슬픔이 밀려옴'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이유 없이 눈물이 나고 슬픔이 밀려옴,10대,우울증의 초기 증상으로 의심됨,우울증과 관련된 신체 증상이 나타나고 있습니다.,규칙적인 수면 패턴을 유지하고 수면 환경을 개선하세요.
35,'사람들과 어울리기 싫고 혼자 있는 시간이 많아짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사람들과 어울리기 싫고 혼자 있는 시간이 많아짐,10대,중등도 우울증 증상일 수 있음,인지 기능 저하가 우울증과 연관됩니다.,식사 일정을 정해 규칙적으로 영양을 섭취해 보세요.
36,'사람들과 어울리기 싫고 혼자 있는 시간이 많아짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사람들과 어울리기 싫고 혼자 있는 시간이 많아짐,10대,우울증의 초기 증상으로 의심됨,우울증의 주요 진단 기준에 해당됩니다.,식사 일정을 정해 규칙적으로 영양을 섭취해 보세요.
37,'과도한 피로와 기진맥진 상태'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,과도한 피로와 기진맥진 상태,30대,중등도 우울증 증상일 수 있음,우울증의 주요 진단 기준에 해당됩니다.,가벼운 운동과 산책을 통해 활력을 되찾아 보세요.
38,'잠을 잘 못 자고 매일 피곤함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,잠을 잘 못 자고 매일 피곤함,10대,중등도 우울증 증상일 수 있음,우울증의 주요 진단 기준에 해당됩니다.,간단한 명상이나 스트레칭으로 마음을 안정시켜 보세요.
39,'과도한 피로와 기진맥진 상태'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,과도한 피로와 기진맥진 상태,30대,우울증 가능성이 높음,일상에서 즐거움 감소는 우울증의 전형적인 증상입니다.,가까운 사람과 소통을 늘리거나 전문가 상담을 시도해 보세요.
40,'자주 무기력감과 무동기 상태를 느낌'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,자주 무기력감과 무동기 상태를 느낌,10대,중등도 우울증 증상일 수 있음,인지 기능 저하가 우울증과 연관됩니다.,간단한 명상이나 스트레칭으로 마음을 안정시켜 보세요.
41,'과도한 피로와 기진맥진 상태'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,과도한 피로와 기진맥진 상태,20대,경미한 우울증으로 볼 수 있음,인지 기능 저하가 우울증과 연관됩니다.,식사 일정을 정해 규칙적으로 영양을 섭취해 보세요.
42,'이전에 즐겼던 것들에 흥미를 잃음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이전에 즐겼던 것들에 흥미를 잃음,10대,경미한 우울증으로 볼 수 있음,우울증 환자에게 자주 보이는 증상입니다.,식사 일정을 정해 규칙적으로 영양을 섭취해 보세요.
43,'이유 없이 눈물이 나고 슬픔이 밀려옴'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이유 없이 눈물이 나고 슬픔이 밀려옴,40대,우울증 가능성이 높음,우울증의 주요 진단 기준에 해당됩니다.,가벼운 운동과 산책을 통해 활력을 되찾아 보세요.
44,'일에 집중하기 어려움'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,일에 집중하기 어려움,30대,우울증의 초기 증상으로 의심됨,우울증의 주요 진단 기준에 해당됩니다.,가벼운 운동과 산책을 통해 활력을 되찾아 보세요.
45,'예전보다 감정 기복이 심해짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,예전보다 감정 기복이 심해짐,30대,중등도 우울증 증상일 수 있음,우울증과 관련된 신체 증상이 나타나고 있습니다.,가벼운 운동과 산책을 통해 활력을 되찾아 보세요.
46,'사람들과 어울리기 싫고 혼자 있는 시간이 많아짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,사람들과 어울리기 싫고 혼자 있는 시간이 많아짐,40대,우울증 가능성이 높음,우울증의 주요 진단 기준에 해당됩니다.,가벼운 운동과 산책을 통해 활력을 되찾아 보세요.
47,'잠을 잘 못 자고 매일 피곤함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,잠을 잘 못 자고 매일 피곤함,40대,우울증 가능성이 높음,우울증 환자에게 자주 보이는 증상입니다.,간단한 명상이나 스트레칭으로 마음을 안정시켜 보세요.
48,'잠을 잘 못 자고 매일 피곤함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,잠을 잘 못 자고 매일 피곤함,50대 이상,경미한 우울증으로 볼 수 있음,우울증과 관련된 신체 증상이 나타나고 있습니다.,식사 일정을 정해 규칙적으로 영양을 섭취해 보세요.
49,'체중이 급격히 감소하거나 증가함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,체중이 급격히 감소하거나 증가함,40대,경미한 우울증으로 볼 수 있음,우울증 환자에게 자주 보이는 증상입니다.,식사 일정을 정해 규칙적으로 영양을 섭취해 보세요.
50,'이전에 즐겼던 것들에 흥미를 잃음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이전에 즐겼던 것들에 흥미를 잃음,30대,중등도 우울증 증상일 수 있음,인지 기능 저하가 우울증과 연관됩니다.,가벼운 운동과 산책을 통해 활력을 되찾아 보세요.
51,'자주 무기력감과 무동기 상태를 느낌'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,자주 무기력감과 무동기 상태를 느낌,40대,우울증의 초기 증상으로 의심됨,우울증과 관련된 신체 증상이 나타나고 있습니다.,가벼운 운동과 산책을 통해 활력을 되찾아 보세요.
52,'체중이 급격히 감소하거나 증가함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,체중이 급격히 감소하거나 증가함,50대 이상,경미한 우울증으로 볼 수 있음,일상에서 즐거움 감소는 우울증의 전형적인 증상입니다.,가까운 사람과 소통을 늘리거나 전문가 상담을 시도해 보세요.
53,'일에 집중하기 어려움'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,일에 집중하기 어려움,10대,우울증의 초기 증상으로 의심됨,우울증의 주요 진단 기준에 해당됩니다.,하루 일정을 계획적으로 관리하며 집중력을 높여 보세요.
54,'자주 무기력감과 무동기 상태를 느낌'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,자주 무기력감과 무동기 상태를 느낌,40대,불안과 우울증 증상 동반 가능성 있음,우울증 환자에게 자주 보이는 증상입니다.,식사 일정을 정해 규칙적으로 영양을 섭취해 보세요.
55,'일에 집중하기 어려움'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,일에 집중하기 어려움,40대,우울증 가능성이 높음,우울증 환자에게 자주 보이는 증상입니다.,간단한 명상이나 스트레칭으로 마음을 안정시켜 보세요.
56,'과도한 피로와 기진맥진 상태'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,과도한 피로와 기진맥진 상태,30대,중등도 우울증 증상일 수 있음,일상에서 즐거움 감소는 우울증의 전형적인 증상입니다.,식사 일정을 정해 규칙적으로 영양을 섭취해 보세요.
57,'이전에 즐겼던 것들에 흥미를 잃음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이전에 즐겼던 것들에 흥미를 잃음,30대,불안과 우울증 증상 동반 가능성 있음,일상에서 즐거움 감소는 우울증의 전형적인 증상입니다.,하루 일정을 계획적으로 관리하며 집중력을 높여 보세요.
58,'자주 무기력감과 무동기 상태를 느낌'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,자주 무기력감과 무동기 상태를 느낌,20대,경미한 우울증으로 볼 수 있음,인지 기능 저하가 우울증과 연관됩니다.,가까운 사람과 소통을 늘리거나 전문가 상담을 시도해 보세요.
59,'과도한 피로와 기진맥진 상태'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,과도한 피로와 기진맥진 상태,10대,경미한 우울증으로 볼 수 있음,우울증과 관련된 신체 증상이 나타나고 있습니다.,가까운 사람과 소통을 늘리거나 전문가 상담을 시도해 보세요.
60,'이유 없이 눈물이 나고 슬픔이 밀려옴'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이유 없이 눈물이 나고 슬픔이 밀려옴,30대,불안과 우울증 증상 동반 가능성 있음,일상에서 즐거움 감소는 우울증의 전형적인 증상입니다.,가벼운 운동과 산책을 통해 활력을 되찾아 보세요.
61,'과도한 피로와 기진맥진 상태'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,과도한 피로와 기진맥진 상태,50대 이상,불안과 우울증 증상 동반 가능성 있음,우울증의 주요 진단 기준에 해당됩니다.,가까운 사람과 소통을 늘리거나 전문가 상담을 시도해 보세요.
62,'과도한 피로와 기진맥진 상태'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,과도한 피로와 기진맥진 상태,10대,우울증 가능성이 높음,우울증과 관련된 신체 증상이 나타나고 있습니다.,규칙적인 수면 패턴을 유지하고 수면 환경을 개선하세요.
63,'식욕이 감소하여 먹는 것이 귀찮음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,식욕이 감소하여 먹는 것이 귀찮음,40대,중등도 우울증 증상일 수 있음,우울증의 주요 진단 기준에 해당됩니다.,식사 일정을 정해 규칙적으로 영양을 섭취해 보세요.
64,'체중이 급격히 감소하거나 증가함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,체중이 급격히 감소하거나 증가함,10대,우울증의 초기 증상으로 의심됨,우울증 환자에게 자주 보이는 증상입니다.,가벼운 운동과 산책을 통해 활력을 되찾아 보세요.
65,'과도한 피로와 기진맥진 상태'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,과도한 피로와 기진맥진 상태,20대,우울증 가능성이 높음,우울증과 관련된 신체 증상이 나타나고 있습니다.,하루 일정을 계획적으로 관리하며 집중력을 높여 보세요.
66,'과도한 피로와 기진맥진 상태'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,과도한 피로와 기진맥진 상태,10대,불안과 우울증 증상 동반 가능성 있음,인지 기능 저하가 우울증과 연관됩니다.,하루 일정을 계획적으로 관리하며 집중력을 높여 보세요.
67,'일에 집중하기 어려움'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,일에 집중하기 어려움,20대,중등도 우울증 증상일 수 있음,우울증과 관련된 신체 증상이 나타나고 있습니다.,간단한 명상이나 스트레칭으로 마음을 안정시켜 보세요.
68,'과도한 피로와 기진맥진 상태'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,과도한 피로와 기진맥진 상태,30대,불안과 우울증 증상 동반 가능성 있음,우울증 환자에게 자주 보이는 증상입니다.,식사 일정을 정해 규칙적으로 영양을 섭취해 보세요.
69,'식욕이 감소하여 먹는 것이 귀찮음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,식욕이 감소하여 먹는 것이 귀찮음,30대,경미한 우울증으로 볼 수 있음,우울증과 관련된 신체 증상이 나타나고 있습니다.,간단한 명상이나 스트레칭으로 마음을 안정시켜 보세요.
70,'이유 없이 눈물이 나고 슬픔이 밀려옴'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이유 없이 눈물이 나고 슬픔이 밀려옴,10대,불안과 우울증 증상 동반 가능성 있음,우울증의 주요 진단 기준에 해당됩니다.,가벼운 운동과 산책을 통해 활력을 되찾아 보세요.
71,'잠을 잘 못 자고 매일 피곤함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,잠을 잘 못 자고 매일 피곤함,20대,중등도 우울증 증상일 수 있음,일상에서 즐거움 감소는 우울증의 전형적인 증상입니다.,가벼운 운동과 산책을 통해 활력을 되찾아 보세요.
72,'잠을 잘 못 자고 매일 피곤함'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,잠을 잘 못 자고 매일 피곤함,30대,우울증의 초기 증상으로 의심됨,우울증의 주요 진단 기준에 해당됩니다.,식사 일정을 정해 규칙적으로 영양을 섭취해 보세요.
73,'이전에 즐겼던 것들에 흥미를 잃음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,이전에 즐겼던 것들에 흥미를 잃음,30대,경미한 우울증으로 볼 수 있음,일상에서 즐거움 감소는 우울증의 전형적인 증상입니다.,가벼운 운동과 산책을 통해 활력을 되찾아 보세요.
74,'예전보다 감정 기복이 심해짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,예전보다 감정 기복이 심해짐,40대,우울증의 초기 증상으로 의심됨,우울증의 주요 진단 기준에 해당됩니다.,식사 일정을 정해 규칙적으로 영양을 섭취해 보세요.
75,'과도한 피로와 기진맥진 상태'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,과도한 피로와 기진맥진 상태,10대,경미한 우울증으로 볼 수 있음,우울증의 주요 진단 기준에 해당됩니다.,간단한 명상이나 스트레칭으로 마음을 안정시켜 보세요.
